2d;imaginary numbers Cl(0,1,0)
3d;euclidean geometric algebra Cl(3,0,0)
6d;G6 for screw axis in robotics Cl(6,0,0)
qra1f;quantum register algebra with 1 quantum bits with Witt-Basis Cl(3,1,0)
2dpga;2D projective geometric algebra Cl(2,0,1)
3dpga;3D projective geometric algebra Cl(3,0,1)
cra;compass ruler algebra Cl(3,1,0)
sta;space-time algebra Cl(1,3,0)
cga;conformal geometric algebra Cl(4,1,0)
gac;geometric algebra for conics Cl(5,3,0)
dcga;double conformal geometric algebra Cl(8,2,0)
qga;quantum bit geometric algebra Cl(6,3,0)
qra6;quantum register geometric algebra with 6 quantum bits Cl(14,0,0)
qca1;quantum computing algebra with 1 quantum bits Cl(2,2,0)
qca;quantum computing algebra;1;10
